지역,연령별,성별,긍정적 태도율(자연환경)
서울시,계,계,75.7
서울시,계,남,77.4
서울시,계,여,74.4
서울시,19~44,계,71.5
서울시,19~44,남,74.0
서울시,19~44,여,69.4
서울시,45~64,계,75.2
서울시,45~64,남,77.1
서울시,45~64,여,73.8
서울시,65~74,계,80.5
서울시,65~74,남,81.7
서울시,65~74,여,79.6
서울시,75 이상,계,85.2
서울시,75 이상,남,84.8
서울시,75 이상,여,85.5
영등포구,계,계,53.6
영등포구,계,남,56.0
영등포구,계,여,51.4
영등포구,19~44,계,54.5
영등포구,19~44,남,57.5
영등포구,19~44,여,51.5
영등포구,45~64,계,46.5
영등포구,45~64,남,47.1
영등포구,45~64,여,46.1
영등포구,65~74,계,56.8
영등포구,65~74,남,57.8
영등포구,65~74,여,56.1
영등포구,75 이상,계,74.3
영등포구,75 이상,남,78.9
영등포구,75 이상,여,68.8
양천구,계,계,80.3
양천구,계,남,79.4
양천구,계,여,81.0
양천구,19~44,계,79.6
양천구,19~44,남,80.8
양천구,19~44,여,78.6
양천구,45~64,계,78.7
양천구,45~64,남,76.2
양천구,45~64,여,80.5
양천구,65~74,계,83.9
양천구,65~74,남,86.0
양천구,65~74,여,82.3
양천구,75 이상,계,87.3
양천구,75 이상,남,80.0
양천구,75 이상,여,91.3
마포구,계,계,69.7
마포구,계,남,71.9
마포구,계,여,68.1
마포구,19~44,계,63.9
마포구,19~44,남,66.3
마포구,19~44,여,62.1
마포구,45~64,계,68.2
마포구,45~64,남,69.6
마포구,45~64,여,67.3
마포구,65~74,계,78.0
마포구,65~74,남,78.0
마포구,65~74,여,78.1
마포구,75 이상,계,86.0
마포구,75 이상,남,91.3
마포구,75 이상,여,81.5
동작구,계,계,78.5
동작구,계,남,82.1
동작구,계,여,75.7
동작구,19~44,계,78.9
동작구,19~44,남,82.4
동작구,19~44,여,75.7
동작구,45~64,계,80.1
동작구,45~64,남,83.3
동작구,45~64,여,77.6
동작구,65~74,계,77.0
동작구,65~74,남,79.4
동작구,65~74,여,75.0
동작구,75 이상,계,74.7
동작구,75 이상,남,81.1
동작구,75 이상,여,70.7
금천구,계,계,52.6
금천구,계,남,51.6
금천구,계,여,53.4
금천구,19~44,계,45.4
금천구,19~44,남,46.4
금천구,19~44,여,44.4
금천구,45~64,계,55.3
금천구,45~64,남,52.4
금천구,45~64,여,57.4
금천구,65~74,계,56.2
금천구,65~74,남,55.2
금천구,65~74,여,57.1
금천구,75 이상,계,63.5
금천구,75 이상,남,62.5
금천구,75 이상,여,64.4
구로구,계,계,59.5
구로구,계,남,65.2
구로구,계,여,55.0
구로구,19~44,계,54.2
구로구,19~44,남,65.4
구로구,19~44,여,45.3
구로구,45~64,계,54.5
구로구,45~64,남,59.4
구로구,45~64,여,50.5
구로구,65~74,계,75.0
구로구,65~74,남,77.6
구로구,65~74,여,73.5
구로구,75 이상,계,73.3
구로구,75 이상,남,71.1
구로구,75 이상,여,75.6
관악구,계,계,80.5
관악구,계,남,83.4
관악구,계,여,78.3
관악구,19~44,계,73.3
관악구,19~44,남,77.3
관악구,19~44,여,69.6
관악구,45~64,계,84.6
관악구,45~64,남,88.7
관악구,45~64,여,82.1
관악구,65~74,계,87.7
관악구,65~74,남,90.7
관악구,65~74,여,85.9
관악구,75 이상,계,85.1
관악구,75 이상,남,85.1
관악구,75 이상,여,85.1
강서구,계,계,69.8
강서구,계,남,70.2
강서구,계,여,69.5
강서구,19~44,계,64.8
강서구,19~44,남,64.8
강서구,19~44,여,64.8
강서구,45~64,계,68.4
강서구,45~64,남,69.3
강서구,45~64,여,67.8
강서구,65~74,계,77.9
강서구,65~74,남,82.7
강서구,65~74,여,74.3
강서구,75 이상,계,84.1
강서구,75 이상,남,78.9
강서구,75 이상,여,88.6
중랑구,계,계,66.4
중랑구,계,남,68.4
중랑구,계,여,65.2
중랑구,19~44,계,59.2
중랑구,19~44,남,63.6
중랑구,19~44,여,56.2
중랑구,45~64,계,65.2
중랑구,45~64,남,61.3
중랑구,45~64,여,67.3
중랑구,65~74,계,78.5
중랑구,65~74,남,80.0
중랑구,65~74,여,77.1
중랑구,75 이상,계,73.5
중랑구,75 이상,남,82.4
중랑구,75 이상,여,67.3
종로구,계,계,82.5
종로구,계,남,83.5
종로구,계,여,81.7
종로구,19~44,계,78.7
종로구,19~44,남,81.3
종로구,19~44,여,76.4
종로구,45~64,계,83.1
종로구,45~64,남,84.6
종로구,45~64,여,81.9
종로구,65~74,계,80.4
종로구,65~74,남,80.0
종로구,65~74,여,80.6
종로구,75 이상,계,91.8
종로구,75 이상,남,90.7
종로구,75 이상,여,92.4
은평구,계,계,82.4
은평구,계,남,85.9
은평구,계,여,80.1
은평구,19~44,계,81.9
은평구,19~44,남,86.7
은평구,19~44,여,78.3
은평구,45~64,계,80.4
은평구,45~64,남,80.6
은평구,45~64,여,80.2
은평구,65~74,계,83.8
은평구,65~74,남,88.5
은평구,65~74,여,81.4
은평구,75 이상,계,86.9
은평구,75 이상,남,94.4
은평구,75 이상,여,81.6
성북구,계,계,79.9
성북구,계,남,82.4
성북구,계,여,78.0
성북구,19~44,계,75.3
성북구,19~44,남,76.8
성북구,19~44,여,74.0
성북구,45~64,계,80.9
성북구,45~64,남,87.2
성북구,45~64,여,76.1
성북구,65~74,계,84.2
성북구,65~74,남,84.1
성북구,65~74,여,84.3
성북구,75 이상,계,85.9
성북구,75 이상,남,83.7
성북구,75 이상,여,87.5
서대문구,계,계,78.1
서대문구,계,남,81.5
서대문구,계,여,75.6
서대문구,19~44,계,76.2
서대문구,19~44,남,80.4
서대문구,19~44,여,72.2
서대문구,45~64,계,77.5
서대문구,45~64,남,82.2
서대문구,45~64,여,74.3
서대문구,65~74,계,81.5
서대문구,65~74,남,78.0
서대문구,65~74,여,83.7
서대문구,75 이상,계,80.2
서대문구,75 이상,남,87.5
서대문구,75 이상,여,75.9
도봉구,계,계,82.3
도봉구,계,남,84.3
도봉구,계,여,80.8
도봉구,19~44,계,81.9
도봉구,19~44,남,81.2
도봉구,19~44,여,82.5
도봉구,45~64,계,82.1
도봉구,45~64,남,84.4
도봉구,45~64,여,80.5
도봉구,65~74,계,82.7
도봉구,65~74,남,87.3
도봉구,65~74,여,78.8
도봉구,75 이상,계,83.6
도봉구,75 이상,남,88.4
도봉구,75 이상,여,80.6
노원구,계,계,93.4
노원구,계,남,94.6
노원구,계,여,92.7
노원구,19~44,계,91.6
노원구,19~44,남,93.8
노원구,19~44,여,90.1
노원구,45~64,계,93.8
노원구,45~64,남,95.5
노원구,45~64,여,92.7
노원구,65~74,계,93.8
노원구,65~74,남,92.3
노원구,65~74,여,94.8
노원구,75 이상,계,96.6
노원구,75 이상,남,97.6
노원구,75 이상,여,96.0
강북구,계,계,81.4
강북구,계,남,80.5
강북구,계,여,82.1
강북구,19~44,계,76.6
강북구,19~44,남,75.7
강북구,19~44,여,77.4
강북구,45~64,계,79.9
강북구,45~64,남,82.1
강북구,45~64,여,78.3
강북구,65~74,계,80.4
강북구,65~74,남,77.8
강북구,65~74,여,82.1
강북구,75 이상,계,92.8
강북구,75 이상,남,87.5
강북구,75 이상,여,96.8
중구,계,계,82.5
중구,계,남,82.8
중구,계,여,82.2
중구,19~44,계,76.1
중구,19~44,남,77.3
중구,19~44,여,74.7
중구,45~64,계,82.3
중구,45~64,남,83.2
중구,45~64,여,81.4
중구,65~74,계,90.8
중구,65~74,남,91.2
중구,65~74,여,90.5
중구,75 이상,계,95.3
중구,75 이상,남,95.0
중구,75 이상,여,95.5
용산구,계,계,84.7
용산구,계,남,85.8
용산구,계,여,83.7
용산구,19~44,계,76.4
용산구,19~44,남,77.3
용산구,19~44,여,75.7
용산구,45~64,계,85.3
용산구,45~64,남,86.6
용산구,45~64,여,84.1
용산구,65~74,계,90.7
용산구,65~74,남,93.0
용산구,65~74,여,89.2
용산구,75 이상,계,92.9
용산구,75 이상,남,94.3
용산구,75 이상,여,91.8
송파구,계,계,86.8
송파구,계,남,89.2
송파구,계,여,84.9
송파구,19~44,계,84.9
송파구,19~44,남,87.6
송파구,19~44,여,82.7
송파구,45~64,계,85.5
송파구,45~64,남,89.3
송파구,45~64,여,82.7
송파구,65~74,계,92.9
송파구,65~74,남,94.5
송파구,65~74,여,91.9
송파구,75 이상,계,91.5
송파구,75 이상,남,89.3
송파구,75 이상,여,93.5
성동구,계,계,68.5
성동구,계,남,70.6
성동구,계,여,66.7
성동구,19~44,계,66.3
성동구,19~44,남,65.2
성동구,19~44,여,67.2
성동구,45~64,계,66.6
성동구,45~64,남,71.8
성동구,45~64,여,62.5
성동구,65~74,계,72.4
성동구,65~74,남,79.0
성동구,65~74,여,66.2
성동구,75 이상,계,78.3
성동구,75 이상,남,75.7
성동구,75 이상,여,80.0
서초구,계,계,80.6
서초구,계,남,80.7
서초구,계,여,80.5
서초구,19~44,계,76.6
서초구,19~44,남,78.0
서초구,19~44,여,75.4
서초구,45~64,계,79.3
서초구,45~64,남,79.1
서초구,45~64,여,79.5
서초구,65~74,계,86.0
서초구,65~74,남,88.7
서초구,65~74,여,83.8
서초구,75 이상,계,95.1
서초구,75 이상,남,88.2
서초구,75 이상,여,100.0
동대문구,계,계,63.8
동대문구,계,남,68.0
동대문구,계,여,60.2
동대문구,19~44,계,58.7
동대문구,19~44,남,65.1
동대문구,19~44,여,53.3
동대문구,45~64,계,61.9
동대문구,45~64,남,68.6
동대문구,45~64,여,56.5
동대문구,65~74,계,70.6
동대문구,65~74,남,73.0
동대문구,65~74,여,68.8
동대문구,75 이상,계,77.3
동대문구,75 이상,남,68.9
동대문구,75 이상,여,84.6
광진구,계,계,77.3
광진구,계,남,78.8
광진구,계,여,76.1
광진구,19~44,계,72.4
광진구,19~44,남,75.4
광진구,19~44,여,69.7
광진구,45~64,계,78.0
광진구,45~64,남,78.3
광진구,45~64,여,77.8
광진구,65~74,계,82.5
광진구,65~74,남,84.2
광진구,65~74,여,81.0
광진구,75 이상,계,95.2
광진구,75 이상,남,93.1
광진구,75 이상,여,97.1
강동구,계,계,80.5
강동구,계,남,82.8
강동구,계,여,78.5
강동구,19~44,계,77.4
강동구,19~44,남,80.8
강동구,19~44,여,74.5
강동구,45~64,계,80.1
강동구,45~64,남,82.1
강동구,45~64,여,78.5
강동구,65~74,계,87.6
강동구,65~74,남,87.7
강동구,65~74,여,87.5
강동구,75 이상,계,86.2
강동구,75 이상,남,88.2
강동구,75 이상,여,83.9
강남구,계,계,74.5
강남구,계,남,75.8
강남구,계,여,73.5
강남구,19~44,계,66.9
강남구,19~44,남,67.6
강남구,19~44,여,66.4
강남구,45~64,계,80.9
강남구,45~64,남,84.6
강남구,45~64,여,78.1
강남구,65~74,계,78.4
강남구,65~74,남,84.6
강남구,65~74,여,74.1
강남구,75 이상,계,83.3
강남구,75 이상,남,68.2
강남구,75 이상,여,92.1
