지역,연령별,성별,주관적 스트레스 수준
서울시,계,계,24.5
서울시,계,남,22.6
서울시,계,여,26.1
서울시,19~44,계,31.2
서울시,19~44,남,28.7
서울시,19~44,여,33.3
서울시,45~64,계,23.1
서울시,45~64,남,22.5
서울시,45~64,여,23.5
서울시,65~74,계,17.1
서울시,65~74,남,14.4
서울시,65~74,여,19.1
서울시,75 이상,계,17.2
서울시,75 이상,남,11.6
서울시,75 이상,여,21.3
영등포구,계,계,25.8
영등포구,계,남,22.0
영등포구,계,여,29.1
영등포구,19~44,계,34.4
영등포구,19~44,남,29.9
영등포구,19~44,여,38.7
영등포구,45~64,계,22.1
영등포구,45~64,남,20.1
영등포구,45~64,여,23.7
영등포구,65~74,계,20.9
영등포구,65~74,남,11.9
영등포구,65~74,여,27.9
영등포구,75 이상,계,10.7
영등포구,75 이상,남,10.0
영등포구,75 이상,여,11.4
양천구,계,계,24.7
양천구,계,남,24.2
양천구,계,여,25.0
양천구,19~44,계,34.9
양천구,19~44,남,30.7
양천구,19~44,여,38.3
양천구,45~64,계,22.6
양천구,45~64,남,25.1
양천구,45~64,여,20.6
양천구,65~74,계,14.3
양천구,65~74,남,10.0
양천구,65~74,여,17.7
양천구,75 이상,계,4.2
양천구,75 이상,남,8.0
양천구,75 이상,여,2.2
마포구,계,계,27.5
마포구,계,남,26.1
마포구,계,여,28.5
마포구,19~44,계,31.8
마포구,19~44,남,33.3
마포구,19~44,여,30.5
마포구,45~64,계,29.6
마포구,45~64,남,28.7
마포구,45~64,여,30.2
마포구,65~74,계,18.3
마포구,65~74,남,15.4
마포구,65~74,여,20.3
마포구,75 이상,계,16.3
마포구,75 이상,남,4.3
마포구,75 이상,여,26.3
동작구,계,계,20.7
동작구,계,남,20.5
동작구,계,여,20.8
동작구,19~44,계,24.3
동작구,19~44,남,24.0
동작구,19~44,여,24.6
동작구,45~64,계,22.3
동작구,45~64,남,24.0
동작구,45~64,여,21.1
동작구,65~74,계,10.5
동작구,65~74,남,10.3
동작구,65~74,여,10.7
동작구,75 이상,계,17.5
동작구,75 이상,남,10.8
동작구,75 이상,여,21.7
금천구,계,계,25.0
금천구,계,남,21.8
금천구,계,여,27.7
금천구,19~44,계,26.9
금천구,19~44,남,23.6
금천구,19~44,여,29.9
금천구,45~64,계,24.4
금천구,45~64,남,23.5
금천구,45~64,여,25.1
금천구,65~74,계,22.3
금천구,65~74,남,19.4
금천구,65~74,여,25.4
금천구,75 이상,계,23.9
금천구,75 이상,남,12.2
금천구,75 이상,여,34.0
구로구,계,계,23.5
구로구,계,남,20.5
구로구,계,여,25.9
구로구,19~44,계,31.2
구로구,19~44,남,27.1
구로구,19~44,여,34.5
구로구,45~64,계,20.4
구로구,45~64,남,19.0
구로구,45~64,여,21.5
구로구,65~74,계,19.0
구로구,65~74,남,15.4
구로구,65~74,여,21.2
구로구,75 이상,계,16.0
구로구,75 이상,남,10.9
구로구,75 이상,여,20.8
관악구,계,계,25.4
관악구,계,남,25.4
관악구,계,여,25.4
관악구,19~44,계,32.7
관악구,19~44,남,34.4
관악구,19~44,여,31.1
관악구,45~64,계,25.1
관악구,45~64,남,22.8
관악구,45~64,여,26.5
관악구,65~74,계,12.7
관악구,65~74,남,10.7
관악구,65~74,여,13.8
관악구,75 이상,계,17.9
관악구,75 이상,남,14.9
관악구,75 이상,여,20.8
강서구,계,계,28.7
강서구,계,남,25.0
강서구,계,여,31.7
강서구,19~44,계,33.5
강서구,19~44,남,28.2
강서구,19~44,여,38.4
강서구,45~64,계,28.2
강서구,45~64,남,25.7
강서구,45~64,여,29.9
강서구,65~74,계,20.5
강서구,65~74,남,17.3
강서구,65~74,여,22.9
강서구,75 이상,계,22.6
강서구,75 이상,남,18.4
강서구,75 이상,여,26.1
중랑구,계,계,24.4
중랑구,계,남,18.8
중랑구,계,여,28.2
중랑구,19~44,계,29.5
중랑구,19~44,남,24.8
중랑구,19~44,여,33.0
중랑구,45~64,계,22.2
중랑구,45~64,남,17.5
중랑구,45~64,여,24.8
중랑구,65~74,계,20.4
중랑구,65~74,남,15.9
중랑구,65~74,여,24.7
중랑구,75 이상,계,22.7
중랑구,75 이상,남,8.3
중랑구,75 이상,여,32.7
종로구,계,계,26.3
종로구,계,남,24.6
종로구,계,여,27.6
종로구,19~44,계,33.7
종로구,19~44,남,32.4
종로구,19~44,여,34.9
종로구,45~64,계,24.5
종로구,45~64,남,22.9
종로구,45~64,여,25.7
종로구,65~74,계,22.3
종로구,65~74,남,20.0
종로구,65~74,여,24.2
종로구,75 이상,계,17.9
종로구,75 이상,남,11.4
종로구,75 이상,여,21.5
은평구,계,계,26.6
은평구,계,남,23.8
은평구,계,여,28.5
은평구,19~44,계,31.7
은평구,19~44,남,27.1
은평구,19~44,여,35.3
은평구,45~64,계,28.0
은평구,45~64,남,25.5
은평구,45~64,여,29.7
은평구,65~74,계,22.3
은평구,65~74,남,23.0
은평구,65~74,여,22.0
은평구,75 이상,계,18.2
은평구,75 이상,남,13.0
은평구,75 이상,여,21.8
성북구,계,계,26.5
성북구,계,남,23.2
성북구,계,여,29.1
성북구,19~44,계,36.1
성북구,19~44,남,33.1
성북구,19~44,여,38.7
성북구,45~64,계,21.0
성북구,45~64,남,17.0
성북구,45~64,여,23.9
성북구,65~74,계,17.5
성북구,65~74,남,15.9
성북구,65~74,여,18.7
성북구,75 이상,계,26.3
성북구,75 이상,남,18.6
성북구,75 이상,여,32.1
서대문구,계,계,27.4
서대문구,계,남,28.2
서대문구,계,여,26.9
서대문구,19~44,계,31.3
서대문구,19~44,남,31.7
서대문구,19~44,여,31.0
서대문구,45~64,계,26.3
서대문구,45~64,남,32.5
서대문구,45~64,여,22.0
서대문구,65~74,계,18.5
서대문구,65~74,남,16.9
서대문구,65~74,여,19.6
서대문구,75 이상,계,30.4
서대문구,75 이상,남,20.0
서대문구,75 이상,여,36.4
도봉구,계,계,25.9
도봉구,계,남,20.9
도봉구,계,여,29.6
도봉구,19~44,계,31.3
도봉구,19~44,남,27.2
도봉구,19~44,여,34.8
도봉구,45~64,계,26.5
도봉구,45~64,남,21.1
도봉구,45~64,여,30.1
도봉구,65~74,계,18.5
도봉구,65~74,남,15.3
도봉구,65~74,여,21.2
도봉구,75 이상,계,19.8
도봉구,75 이상,남,9.3
도봉구,75 이상,여,26.5
노원구,계,계,20.2
노원구,계,남,18.8
노원구,계,여,21.2
노원구,19~44,계,21.3
노원구,19~44,남,20.2
노원구,19~44,여,22.1
노원구,45~64,계,22.1
노원구,45~64,남,21.1
노원구,45~64,여,22.8
노원구,65~74,계,18.0
노원구,65~74,남,15.4
노원구,65~74,여,19.8
노원구,75 이상,계,14.9
노원구,75 이상,남,12.2
노원구,75 이상,여,16.4
강북구,계,계,23.3
강북구,계,남,18.9
강북구,계,여,26.6
강북구,19~44,계,35.1
강북구,19~44,남,29.1
강북구,19~44,여,39.9
강북구,45~64,계,19.3
강북구,45~64,남,17.0
강북구,45~64,여,21.0
강북구,65~74,계,24.2
강북구,65~74,남,22.2
강북구,65~74,여,25.5
강북구,75 이상,계,11.4
강북구,75 이상,남,2.8
강북구,75 이상,여,17.9
중구,계,계,21.4
중구,계,남,20.7
중구,계,여,22.1
중구,19~44,계,24.7
중구,19~44,남,18.9
중구,19~44,여,31.0
중구,45~64,계,19.9
중구,45~64,남,24.1
중구,45~64,여,16.1
중구,65~74,계,18.3
중구,65~74,남,22.8
중구,65~74,여,14.3
중구,75 이상,계,18.5
중구,75 이상,남,12.5
중구,75 이상,여,22.1
용산구,계,계,12.8
용산구,계,남,12.1
용산구,계,여,13.5
용산구,19~44,계,20.1
용산구,19~44,남,16.7
용산구,19~44,여,23.0
용산구,45~64,계,12.1
용산구,45~64,남,14.0
용산구,45~64,여,10.2
용산구,65~74,계,7.1
용산구,65~74,남,5.3
용산구,65~74,여,8.4
용산구,75 이상,계,6.5
용산구,75 이상,남,4.3
용산구,75 이상,여,8.2
송파구,계,계,21.7
송파구,계,남,18.7
송파구,계,여,24.0
송파구,19~44,계,27.2
송파구,19~44,남,24.3
송파구,19~44,여,29.7
송파구,45~64,계,21.0
송파구,45~64,남,17.7
송파구,45~64,여,23.4
송파구,65~74,계,12.0
송파구,65~74,남,7.1
송파구,65~74,여,15.1
송파구,75 이상,계,12.9
송파구,75 이상,남,10.7
송파구,75 이상,여,14.7
성동구,계,계,29.6
성동구,계,남,29.7
성동구,계,여,29.6
성동구,19~44,계,37.7
성동구,19~44,남,39.0
성동구,19~44,여,36.6
성동구,45~64,계,28.4
성동구,45~64,남,29.4
성동구,45~64,여,27.6
성동구,65~74,계,15.6
성동구,65~74,남,12.7
성동구,65~74,여,18.5
성동구,75 이상,계,21.5
성동구,75 이상,남,18.4
성동구,75 이상,여,23.6
서초구,계,계,25.2
서초구,계,남,27.2
서초구,계,여,23.7
서초구,19~44,계,33.7
서초구,19~44,남,33.9
서초구,19~44,여,33.5
서초구,45~64,계,24.2
서초구,45~64,남,30.4
서초구,45~64,여,19.9
서초구,65~74,계,13.1
서초구,65~74,남,9.4
서초구,65~74,여,15.9
서초구,75 이상,계,11.0
서초구,75 이상,남,8.6
서초구,75 이상,여,12.8
동대문구,계,계,27.8
동대문구,계,남,27.3
동대문구,계,여,28.2
동대문구,19~44,계,37.2
동대문구,19~44,남,35.9
동대문구,19~44,여,38.3
동대문구,45~64,계,27.3
동대문구,45~64,남,25.5
동대문구,45~64,여,28.7
동대문구,65~74,계,15.4
동대문구,65~74,남,17.5
동대문구,65~74,여,13.8
동대문구,75 이상,계,15.5
동대문구,75 이상,남,17.8
동대문구,75 이상,여,13.5
광진구,계,계,24.4
광진구,계,남,22.9
광진구,계,여,25.8
광진구,19~44,계,33.8
광진구,19~44,남,33.3
광진구,19~44,여,34.1
광진구,45~64,계,19.0
광진구,45~64,남,17.8
광진구,45~64,여,20.0
광진구,65~74,계,15.0
광진구,65~74,남,12.3
광진구,65~74,여,17.5
광진구,75 이상,계,12.7
광진구,75 이상,남,3.4
광진구,75 이상,여,20.6
강동구,계,계,21.4
강동구,계,남,17.1
강동구,계,여,24.9
강동구,19~44,계,26.2
강동구,19~44,남,21.7
강동구,19~44,여,30.1
강동구,45~64,계,18.4
강동구,45~64,남,14.8
강동구,45~64,여,21.1
강동구,65~74,계,14.7
강동구,65~74,남,7.0
강동구,65~74,여,20.8
강동구,75 이상,계,21.4
강동구,75 이상,남,20.0
강동구,75 이상,여,22.9
강남구,계,계,27.5
강남구,계,남,27.1
강남구,계,여,27.9
강남구,19~44,계,36.7
강남구,19~44,남,32.8
강남구,19~44,여,39.7
강남구,45~64,계,22.8
강남구,45~64,남,26.7
강남구,45~64,여,19.9
강남구,65~74,계,12.4
강남구,65~74,남,7.7
강남구,65~74,여,15.5
강남구,75 이상,계,16.7
강남구,75 이상,남,18.2
강남구,75 이상,여,15.8
