지역,연령별,성별,1인당 연소득,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
성북구,75 이상,여,1596.9,17.9,48.2,1.8,87.5,32.1,12.5,8.9,30.4,6.02
서대문구,계,계,1822.7,38.9,51.8,13.9,78.1,27.4,6.8,9.4,65.6,7.12
서대문구,계,남,1893.6,44.6,55.5,19.2,81.5,28.2,4.9,11.8,62.1,7.21
서대문구,계,여,1769.6,34.6,49.0,10.1,75.6,26.9,8.2,7.6,68.2,7.06
서대문구,19~44,계,2064.9,55.6,55.3,18.7,76.2,31.3,6.7,11.1,76.0,7.28
서대문구,19~44,남,1987.7,60.9,62.1,25.2,80.4,31.7,3.7,14.1,67.7,7.39
서대문구,19~44,여,2137.0,50.6,48.8,12.4,72.2,31.0,9.6,8.1,83.9,7.17
서대문구,45~64,계,1929.6,38.7,52.5,12.5,77.5,26.3,6.4,12.3,69.0,7.11
서대문구,45~64,남,2003.7,44.2,50.8,17.2,82.2,32.5,5.8,15.0,60.8,7.08
서대문구,45~64,여,1879.9,35.0,53.7,9.3,74.3,22.0,6.8,10.5,74.6,7.13
서대문구,65~74,계,1759.6,27.8,52.7,14.5,81.5,18.5,5.3,6.3,58.9,7.27
서대문구,65~74,남,2190.6,25.4,59.3,14.0,78.0,16.9,5.1,3.6,66.1,7.34
서대문구,65~74,여,1465.5,29.3,48.4,14.8,83.7,19.6,5.4,8.1,54.3,7.23
서대문구,75 이상,계,1048.9,11.5,40.9,5.3,80.2,30.4,9.4,2.2,40.6,6.6
서대문구,75 이상,남,964.8,16.0,40.8,10.6,87.5,20.0,6.0,6.2,42.0,6.8
서대문구,75 이상,여,1098.7,9.0,40.9,2.3,75.9,36.4,11.4,0.0,39.8,6.49
도봉구,계,계,1816.5,34.9,55.0,14.7,82.3,25.9,4.7,9.2,64.7,6.86
도봉구,계,남,1823.9,43.0,61.1,21.4,84.3,20.9,2.5,12.0,61.8,6.98
도봉구,계,여,1810.9,28.9,50.5,9.8,80.8,29.6,6.3,7.1,66.9,6.77
도봉구,19~44,계,1917.4,44.8,55.2,22.2,81.9,31.3,5.1,6.1,74.1,6.97
도봉구,19~44,남,1906.2,57.4,62.5,29.4,81.2,27.2,1.5,8.1,71.3,7.07
도봉구,19~44,여,1926.9,34.2,49.1,16.1,82.5,34.8,8.1,4.3,76.4,6.88
도봉구,45~64,계,2017.7,37.6,55.6,13.7,82.1,26.5,4.8,10.5,67.8,6.89
도봉구,45~64,남,2066.8,43.0,56.3,19.0,84.4,21.1,2.1,13.4,59.2,7.06
도봉구,45~64,여,1983.9,34.0,55.0,10.0,80.5,30.1,6.7,8.6,73.7,6.77
도봉구,65~74,계,1537.0,19.1,56.7,9.6,82.7,18.5,2.5,13.4,61.8,6.75
도봉구,65~74,남,1562.7,20.8,63.9,16.7,87.3,15.3,4.2,16.7,59.7,6.72
도봉구,65~74,여,1515.6,17.6,50.6,3.5,78.8,21.2,1.2,10.6,63.5,6.76
도봉구,75 이상,계,1305.0,22.5,50.5,5.4,83.6,19.8,6.3,7.2,34.2,6.66
도봉구,75 이상,남,1188.0,34.9,67.4,11.6,88.4,9.3,4.7,11.6,44.2,6.84
도봉구,75 이상,여,1379.0,14.7,39.7,1.5,80.6,26.5,7.4,4.4,27.9,6.54
노원구,계,계,1767.4,34.0,63.0,14.8,93.4,20.2,6.8,15.8,59.5,6.65
노원구,계,남,1785.9,37.9,68.8,18.2,94.6,18.8,6.0,15.7,51.8,6.72
노원구,계,여,1754.7,31.3,59.0,12.6,92.7,21.2,7.3,15.8,64.7,6.61
노원구,19~44,계,1947.8,50.5,64.1,15.6,91.6,21.3,5.6,12.6,60.5,6.86
노원구,19~44,남,1999.5,55.8,69.0,21.7,93.8,20.2,5.4,11.6,49.6,6.91
노원구,19~44,여,1907.4,46.5,60.5,11.0,90.1,22.1,5.8,13.4,68.6,6.81
노원구,45~64,계,2044.2,33.0,66.1,16.2,93.8,22.1,7.4,20.4,64.3,6.51
노원구,45~64,남,2027.8,36.8,70.7,20.3,95.5,21.1,6.0,20.3,54.1,6.52
노원구,45~64,여,2054.7,30.6,63.1,13.6,92.7,22.8,8.3,20.4,70.9,6.51
노원구,65~74,계,1297.4,16.1,65.8,14.9,93.8,18.0,9.3,17.4,63.4,6.5
노원구,65~74,남,1393.1,16.9,66.2,12.3,92.3,15.4,9.2,16.9,56.9,6.5
노원구,65~74,여,1229.9,15.6,65.6,16.7,94.8,19.8,9.4,17.7,67.7,6.49
노원구,75 이상,계,1118.9,18.8,47.0,8.5,96.6,14.9,4.4,8.5,37.6,6.75
노원구,75 이상,남,960.0,19.0,66.7,9.5,97.6,12.2,2.4,11.9,42.9,7.1
노원구,75 이상,여,1211.0,18.7,36.0,8.0,96.0,16.4,5.6,6.7,34.7,6.56
강북구,계,계,1557.9,32.4,52.9,8.9,81.4,23.3,6.3,6.5,61.8,6.77
강북구,계,남,1617.1,36.0,53.9,14.0,80.5,18.9,5.9,9.7,52.2,6.75
강북구,계,여,1513.0,29.6,52.2,5.1,82.1,26.6,6.7,4.2,69.1,6.78
강북구,19~44,계,1780.3,52.8,61.5,14.0,76.6,35.1,7.2,9.4,69.1,6.96
강북구,19~44,남,1895.4,53.0,61.5,19.7,75.7,29.1,6.0,13.7,65.0,6.97
강북구,19~44,여,1687.7,52.7,61.5,9.5,77.4,39.9,8.1,6.1,72.3,6.96
강북구,45~64,계,1765.3,29.4,53.2,7.6,79.9,19.3,4.9,7.6,67.6,6.81
강북구,45~64,남,1830.6,35.5,48.2,11.3,82.1,17.0,5.0,12.8,53.2,6.82
강북구,45~64,여,1716.2,24.7,57.0,4.8,78.3,21.0,4.8,3.8,78.5,6.81
강북구,65~74,계,1310.8,21.5,48.7,5.1,80.4,24.2,7.7,3.8,58.2,6.59
강북구,65~74,남,1274.8,25.4,52.4,7.9,77.8,22.2,6.5,1.6,41.3,6.21
강북구,65~74,여,1334.8,18.9,46.3,3.2,82.1,25.5,8.5,5.3,69.5,6.85
강북구,75 이상,계,1036.3,16.1,42.9,7.1,92.8,11.4,6.6,2.4,42.5,6.55
강북구,75 이상,남,1065.5,19.2,54.2,15.3,87.5,2.8,7.0,4.2,38.9,6.77
강북구,75 이상,여,1013.1,13.7,34.4,1.0,96.8,17.9,6.3,1.0,45.3,6.38
중구,계,계,1988.5,43.6,65.2,24.3,82.5,21.4,2.7,9.4,59.1,6.85
중구,계,남,2026.6,46.9,65.5,26.7,82.8,20.7,2.5,9.8,51.8,6.75
중구,계,여,1953.0,40.5,64.9,22.1,82.2,22.1,2.9,9.1,65.8,6.94
중구,19~44,계,2395.0,68.0,64.6,29.3,76.1,24.7,2.0,8.2,70.2,7.02
중구,19~44,남,2452.9,68.6,65.4,35.7,77.3,18.9,1.6,11.4,63.2,6.92
중구,19~44,여,2332.3,67.3,63.7,22.4,74.7,31.0,2.3,4.7,77.8,7.13
중구,45~64,계,2080.9,35.0,69.9,26.9,82.3,19.9,2.4,12.3,64.2,6.76
중구,45~64,남,2070.4,35.7,65.8,25.5,83.2,24.1,2.5,10.1,50.0,6.54
중구,45~64,여,2090.6,34.5,73.6,28.2,81.4,16.1,2.3,14.4,77.0,6.95
중구,65~74,계,1314.5,22.5,68.3,17.5,90.8,18.3,5.0,9.2,49.2,6.74
중구,65~74,남,1328.8,24.6,71.9,14.0,91.2,22.8,3.6,7.0,40.4,6.41
중구,65~74,여,1301.5,20.6,65.1,20.6,90.5,14.3,6.3,11.1,57.1,7.03
중구,75 이상,계,1157.2,13.0,49.1,7.4,95.3,18.5,3.7,4.6,17.6,6.67
중구,75 이상,남,927.5,22.5,55.0,7.5,95.0,12.5,5.0,5.0,22.5,7.27
중구,75 이상,여,1292.9,7.4,45.6,7.4,95.5,22.1,2.9,4.4,14.7,6.31
용산구,계,계,2061.0,49.3,70.1,20.8,84.7,12.8,1.8,12.7,71.6,7.14
용산구,계,남,2030.5,52.5,70.4,27.0,85.8,12.1,1.4,15.1,67.8,7.06
용산구,계,여,2086.5,46.6,69.8,15.5,83.7,13.5,2.2,10.7,74.8,7.22
용산구,19~44,계,2217.1,70.8,67.3,23.9,76.4,20.1,2.8,8.5,77.5,7.26
용산구,19~44,남,2106.0,78.8,66.7,34.1,77.3,16.7,3.0,13.6,75.0,7.22
용산구,19~44,여,2310.6,63.8,67.8,15.1,75.7,23.0,2.6,3.9,79.6,7.3
용산구,45~64,계,2233.2,50.0,75.0,24.1,85.3,12.1,1.2,13.8,76.2,7.24
용산구,45~64,남,2180.5,49.4,72.0,26.8,86.6,14.0,0.6,12.8,70.7,7.08
용산구,45~64,여,2282.1,50.6,77.8,21.6,84.1,10.2,1.7,14.8,81.2,7.39
용산구,65~74,계,1864.4,35.0,70.0,18.6,90.7,7.1,2.1,18.6,72.1,7.08
용산구,65~74,남,2042.8,36.8,70.2,26.3,93.0,5.3,1.8,24.6,63.2,7.02
용산구,65~74,여,1741.8,33.7,69.9,13.3,89.2,8.4,2.4,14.5,78.3,7.12
용산구,75 이상,계,1554.8,21.3,64.5,9.7,92.9,6.5,1.3,12.9,50.3,6.78
용산구,75 이상,남,1499.7,22.9,74.3,14.3,94.3,4.3,0.0,15.7,51.4,6.74
용산구,75 이상,여,1599.1,20.0,56.5,5.9,91.8,8.2,2.4,10.6,49.4,6.81
송파구,계,계,2197.3,44.1,71.4,16.9,86.8,21.7,6.2,11.8,71.6,7.15
송파구,계,남,2265.6,48.5,73.9,19.4,89.2,18.7,4.0,15.2,66.9,7.33
송파구,계,여,2144.4,40.7,69.5,15.0,84.9,24.0,7.9,9.2,75.2,7.01
송파구,19~44,계,2239.1,53.1,72.0,16.3,84.9,27.2,4.4,7.3,76.2,7.09
송파구,19~44,남,2295.3,57.1,74.6,20.9,87.6,24.3,2.8,10.2,70.1,7.24
송파구,19~44,여,2191.3,49.8,69.9,12.4,82.7,29.7,5.7,4.8,81.3,6.96
송파구,45~64,계,2339.1,39.9,68.5,19.8,85.5,21.0,8.4,15.0,77.2,7.3
송파구,45~64,남,2376.5,41.1,70.9,19.1,89.3,17.7,7.8,16.3,68.8,7.43
송파구,45~64,여,2311.8,39.1,66.7,20.3,82.7,23.4,8.9,14.1,83.3,7.2
송파구,65~74,계,2023.3,37.3,78.2,17.6,92.9,12.0,6.3,16.9,62.0,7.21
송파구,65~74,남,2186.2,48.2,80.4,21.4,94.5,7.1,0.0,26.8,58.9,7.39
송파구,65~74,여,1917.2,30.2,76.7,15.1,91.9,15.1,10.5,10.5,64.0,7.09
송파구,75 이상,계,1560.7,25.8,67.7,3.2,91.5,12.9,4.8,11.3,35.5,6.63
송파구,75 이상,남,1686.4,32.1,71.4,7.1,89.3,10.7,0.0,17.9,53.6,7.25
송파구,75 이상,여,1450.6,20.6,64.7,0.0,93.5,14.7,8.8,5.9,20.6,6.12
성동구,계,계,2165.3,34.4,62.2,19.0,68.5,29.6,7.2,13.2,68.0,6.95
성동구,계,남,2177.3,36.8,63.0,22.3,70.6,29.7,6.4,14.7,56.9,6.93
성동구,계,여,2155.7,32.5,61.5,16.4,66.7,29.6,7.9,12.0,76.9,6.96
성동구,19~44,계,2484.7,45.9,62.6,23.8,66.3,37.7,9.0,11.2,73.2,7.09
성동구,19~44,남,2528.2,48.8,62.8,29.9,65.2,39.0,10.4,15.2,61.0,7.01
성동구,19~44,여,2449.6,43.6,62.4,18.8,67.2,36.6,7.9,7.9,83.2,7.15
성동구,45~64,계,2412.1,28.4,61.9,20.1,66.6,28.4,6.1,17.1,71.3,6.9
성동구,45~64,남,2390.0,30.1,60.8,20.3,71.8,29.4,4.2,14.0,60.1,6.78
성동구,45~64,여,2429.1,27.0,62.7,20.0,62.5,27.6,7.6,19.5,80.0,6.99
성동구,65~74,계,1340.3,28.9,64.8,11.7,72.4,15.6,3.1,11.7,62.5,6.81
성동구,65~74,남,1384.8,30.2,65.1,14.3,79.0,12.7,1.6,14.3,50.8,7.03
성동구,65~74,여,1297.2,27.7,64.6,9.2,66.2,18.5,4.6,9.2,73.8,6.6
성동구,75 이상,계,1168.5,18.3,58.1,6.5,78.3,21.5,9.7,9.7,43.0,6.77
성동구,75 이상,남,1179.3,21.1,68.4,10.5,75.7,18.4,5.3,15.8,36.8,7.0
성동구,75 이상,여,1161.0,16.4,50.9,3.6,80.0,23.6,12.7,5.5,47.3,6.62
서초구,계,계,3037.7,55.7,56.1,17.1,80.6,25.2,6.2,13.3,76.4,7.33
서초구,계,남,3009.9,61.3,63.7,19.5,80.7,27.2,6.0,16.0,73.6,7.41
서초구,계,여,3059.1,51.3,50.1,15.3,80.5,23.7,6.4,11.3,78.6,7.27
서초구,19~44,계,2818.8,71.1,58.2,20.4,76.6,33.7,7.6,11.0,76.2,7.33
서초구,19~44,남,2664.0,72.1,65.2,23.6,78.0,33.9,7.9,14.5,70.3,7.35
서초구,19~44,여,2956.9,70.2,52.1,17.6,75.4,33.5,7.4,8.0,81.4,7.31
서초구,45~64,계,3552.2,50.7,52.9,17.8,79.3,24.2,4.5,13.4,81.9,7.34
서초구,45~64,남,3677.1,53.4,60.8,18.2,79.1,30.4,4.7,16.2,81.8,7.36
서초구,45~64,여,3465.8,48.8,47.4,17.5,79.5,19.9,4.3,11.4,82.0,7.32
서초구,65~74,계,2633.5,41.0,60.7,13.1,86.0,13.1,9.0,18.9,73.0,7.34
서초구,65~74,남,2987.1,58.5,69.8,17.0,88.7,9.4,7.5,13.2,64.2,7.49
서초구,65~74,여,2377.5,27.5,53.6,10.1,83.8,15.9,10.1,23.2,79.7,7.23
서초구,75 이상,계,2415.1,32.9,53.7,6.1,95.1,11.0,3.7,14.6,58.5,7.28
서초구,75 이상,남,1961.3,48.6,60.0,8.6,88.2,8.6,0.0,25.7,68.6,7.77
서초구,75 이상,여,2731.8,21.3,48.9,4.3,100.0,12.8,6.4,6.4,51.1,6.91
동대문구,계,계,1768.8,35.7,49.5,17.2,63.8,27.8,8.0,6.2,61.2,6.74
동대문구,계,남,1796.2,44.0,53.4,22.0,68.0,27.3,5.1,7.2,51.4,6.83
동대문구,계,여,1746.3,28.8,46.3,13.3,60.2,28.2,10.3,5.4,69.2,6.67
동대문구,19~44,계,1864.4,43.5,54.8,19.0,58.7,37.2,9.5,3.0,67.9,6.88
동대문구,19~44,남,1892.1,49.0,63.4,26.8,65.1,35.9,5.9,5.9,60.8,6.95
동대문구,19~44,여,1841.1,38.8,47.5,12.6,53.3,38.3,12.6,0.5,73.8,6.81
동대문구,45~64,계,1948.1,32.0,46.9,18.5,61.9,27.3,5.6,8.5,66.3,6.75
동대문구,45~64,남,1973.9,41.2,46.4,19.6,68.6,25.5,3.3,9.8,57.5,6.88
동대문구,45~64,여,1927.2,24.5,47.3,17.6,56.5,28.7,7.4,7.4,73.4,6.64
동대문구,65~74,계,1373.3,30.1,46.2,18.2,70.6,15.4,7.0,9.8,54.5,6.65
동대문구,65~74,남,1402.1,39.7,47.6,25.4,73.0,17.5,6.3,6.3,31.7,6.59
동대문구,65~74,여,1350.6,22.5,45.0,12.5,68.8,13.8,7.5,12.5,72.5,6.7
동대문구,75 이상,계,1393.8,29.9,45.4,5.2,77.3,15.5,12.4,4.1,29.9,6.39
동대문구,75 이상,남,1421.6,42.2,51.1,8.9,68.9,17.8,6.7,4.4,26.7,6.6
동대문구,75 이상,여,1369.8,19.2,40.4,1.9,84.6,13.5,17.3,3.8,32.7,6.21
광진구,계,계,1983.4,41.8,58.3,19.4,77.3,24.4,6.4,12.9,69.8,7.17
광진구,계,남,2057.3,48.1,57.3,23.9,78.8,22.9,6.1,12.5,64.2,7.22
광진구,계,여,1919.8,36.3,59.2,15.6,76.1,25.8,6.7,13.2,74.6,7.12
광진구,19~44,계,2200.1,52.9,63.2,22.9,72.4,33.8,7.3,12.3,77.6,7.2
광진구,19~44,남,2214.3,58.1,64.0,28.5,75.4,33.3,5.9,14.0,74.2,7.16
광진구,19~44,여,2187.4,48.3,62.6,18.0,69.7,34.1,8.5,10.9,80.6,7.24
광진구,45~64,계,1983.2,36.2,54.3,18.8,78.0,19.0,6.8,14.5,67.1,7.31
광진구,45~64,남,2139.8,44.7,48.7,24.5,78.3,17.8,7.2,11.8,59.2,7.39
광진구,45~64,여,1854.6,29.2,58.9,14.1,77.8,20.0,6.5,16.8,73.5,7.24
광진구,65~74,계,1550.4,30.8,52.5,12.5,82.5,15.0,3.3,15.8,63.3,6.79
광진구,65~74,남,1596.6,33.3,54.4,8.8,84.2,12.3,5.3,14.0,54.4,7.0
광진구,65~74,여,1508.6,28.6,50.8,15.9,81.0,17.5,1.6,17.5,71.4,6.6
광진구,75 이상,계,1441.1,22.2,60.3,14.3,95.2,12.7,4.8,1.6,47.6,6.9
광진구,75 이상,남,1517.6,31.0,65.5,20.7,93.1,3.4,3.4,3.4,44.8,7.1
광진구,75 이상,여,1375.9,14.7,55.9,8.8,97.1,20.6,5.9,0.0,50.0,6.74
강동구,계,계,2006.3,47.3,53.8,21.7,80.5,21.4,7.3,11.5,70.0,7.13
강동구,계,남,2069.4,54.3,57.2,26.3,82.8,17.1,3.9,12.6,64.5,7.3
강동구,계,여,1954.0,41.5,51.0,18.0,78.5,24.9,10.1,10.7,74.5,6.99
강동구,19~44,계,2159.9,59.9,57.8,23.9,77.4,26.2,7.5,11.3,75.6,7.24
강동구,19~44,남,2235.5,64.4,63.3,30.6,80.8,21.7,2.8,12.8,70.6,7.49
강동구,19~44,여,2095.2,56.0,53.1,18.2,74.5,30.1,11.5,10.0,79.9,7.02
강동구,45~64,계,2108.6,45.2,53.0,22.9,80.1,18.4,6.6,11.7,72.3,7.13
강동구,45~64,남,2119.1,54.9,52.1,26.8,82.1,14.8,4.2,12.0,66.2,7.2
강동구,45~64,여,2100.5,37.9,53.7,20.0,78.5,21.1,8.4,11.6,76.8,7.08
강동구,65~74,계,1702.4,34.1,54.3,20.2,87.6,14.7,7.0,12.4,65.9,7.09
강동구,65~74,남,1952.1,42.1,56.1,22.8,87.7,7.0,3.5,12.3,59.6,7.33
강동구,65~74,여,1491.8,27.8,52.8,18.1,87.5,20.8,9.7,12.5,70.8,6.89
강동구,75 이상,계,1244.4,11.4,34.3,7.1,86.2,21.4,10.0,10.0,35.7,6.58
강동구,75 이상,남,1231.9,20.0,48.6,8.6,88.2,20.0,8.6,14.3,34.3,6.71
강동구,75 이상,여,1256.8,2.9,20.0,5.7,83.9,22.9,11.4,5.7,37.1,6.44
강남구,계,계,2767.5,45.8,57.0,15.6,74.5,27.5,5.7,10.6,70.8,7.34
강남구,계,남,2910.7,50.1,59.1,20.5,75.8,27.1,4.6,11.5,66.8,7.36
강남구,계,여,2661.6,42.6,55.6,12.1,73.5,27.9,6.6,10.0,73.8,7.33
강남구,19~44,계,2850.5,50.7,60.9,18.4,66.9,36.7,8.2,10.1,75.8,7.34
강남구,19~44,남,3027.1,54.4,61.1,27.2,67.6,32.8,7.2,11.1,72.8,7.41
강남구,19~44,여,2715.3,47.9,60.7,11.5,66.4,39.7,9.0,9.4,78.2,7.29
강남구,45~64,계,2924.2,46.7,55.8,14.5,80.9,22.8,3.1,9.1,72.4,7.42
강남구,45~64,남,2971.8,50.0,58.7,14.7,84.6,26.7,2.7,8.7,68.7,7.43
강남구,45~64,여,2888.0,44.3,53.7,14.4,78.1,19.9,3.5,9.5,75.1,7.41
강남구,65~74,계,2329.0,29.9,55.7,12.4,78.4,12.4,3.1,18.6,59.8,7.31
강남구,65~74,남,2657.1,28.2,59.0,17.9,84.6,7.7,0.0,17.9,46.2,7.1
강남구,65~74,여,2112.3,31.0,53.4,8.6,74.1,15.5,5.2,19.0,69.0,7.45
강남구,75 이상,계,1957.8,31.7,40.0,8.3,83.3,16.7,8.3,10.0,45.0,6.98
강남구,75 이상,남,1971.8,54.5,45.5,9.1,68.2,18.2,4.5,22.7,40.9,7.0
강남구,75 이상,여,1949.7,18.4,36.8,7.9,92.1,15.8,10.5,2.6,47.4,6.97
